context,question,answer,source_doc,groundedness_score,groundedness_eval,relevance_score,relevance_eval,standalone_score,standalone_eval
"This page provides an overview of the different speech and audio, computer vision, and NLP tasks that can be solved with the 🤗 Transformers library in just three lines of code!

## Audio

Audio and speech processing tasks are a little different from the other modalities mainly because audio as an input is a continuous signal. Unlike text, a raw audio waveform can't be neatly split into discrete chunks the way a sentence can be divided into words. To get around this, the raw audio signal is typically sampled at regular intervals. If you take more samples within an interval, the sampling rate is higher, and the audio more closely resembles the original audio source.

Previous approaches preprocessed the audio to extract useful features from it. It is now more common to start audio and speech processing tasks by directly feeding the raw audio waveform to a feature encoder to extract an audio representation. This simplifies the preprocessing step and allows the model to learn the most essential features.

### Audio classification

Audio classification is a task that labels audio data from a predefined set of classes. It is a broad category with many specific applications, some of which include:

* acoustic scene classification: label audio with a scene label (""office"", ""beach"", ""stadium"")
* acoustic event detection: label audio with a sound event label (""car horn"", ""whale calling"", ""glass breaking"")
* tagging: label audio containing multiple sounds (birdsongs, speaker identification in a meeting)
* music classification: label music with a genre label (""metal"", ""hip-hop"", ""country"")

```py
>>> from transformers import pipeline","What is typically done to the raw audio signal before feeding it into a feature encoder?
",It is typically sampled at regular intervals.,huggingface/transformers/blob/main/docs/source/en/task_summary.md,4.0,"The context explains that the raw audio signal is typically sampled at regular intervals to address its continuous nature. It also mentions that previous approaches preprocessed the audio to extract useful features, implying that sampling is a common preprocessing step before feeding the raw audio into a feature encoder.

",4.0,"The question appears to be asking about a fundamental step in processing audio data for NLP applications using Hugging Face models. A useful question would help clarify any specific preprocessing techniques commonly used with their ecosystem, which could aid developers in optimizing model performance and accuracy.
",5.0,"This question requires some basic knowledge of audio processing and deep learning, but the context is not explicitly stated. The terms ""raw audio signal"" and ""feature encoder"" are technical, but they can be understood without additional information, such as specific settings or documents.

"
"Normalization and pre-tokenization[[normalization-and-pre-tokenization]]

<CourseFloatingBanner chapter={6}
  classNames=""absolute z-10 right-0 top-0""
  notebooks={[
    {label: ""Google Colab"", value: ""https://colab.research.google.com/github/huggingface/notebooks/blob/master/course/en/chapter6/section4.ipynb""},
    {label: ""Aws Studio"", value: ""https://studiolab.sagemaker.aws/import/github/huggingface/notebooks/blob/master/course/en/chapter6/section4.ipynb""},
]} />

Before we dive more deeply into the three most common subword tokenization algorithms used with Transformer models (Byte-Pair Encoding [BPE], WordPiece, and Unigram), we'll first take a look at the preprocessing that each tokenizer applies to text. Here's a high-level overview of the steps in the tokenization pipeline:

<div class=""flex justify-center"">
<img class=""block dark:hidden"" src=""https://huggingface.co/datasets/huggingface-course/documentation-images/resolve/main/en/chapter6/tokenization_pipeline.svg"" alt=""The tokenization pipeline."">
<img class=""hidden dark:block"" src=""https://huggingface.co/datasets/huggingface-course/documentation-images/resolve/main/en/chapter6/tokenization_pipeline-dark.svg"" alt=""The tokenization pipeline."">
</div>

Before splitting a text into subtokens (according to its model), the tokenizer performs two steps: _normalization_ and _pre-tokenization_.

## Normalization[[normalization]]

<Youtube id=""4IIC2jI9CaU""/>

The normalization step involves some general cleanup, such as removing needless whitespace, lowercasing, and/or removing accents. If you're familiar with [Unicode normalization](http://www.unicode.org/reports/tr15/) (such as NFC or NFKC), this is also something the tokenizer may apply.

The 🤗 Transformers `tokenizer` has an attribute called `backend_tokenizer` that provides access to the underlying tokenizer from the 🤗 Tokenizers library:

```py
from transformers import AutoTokenizer","What are the two preprocessing steps that a tokenizer applies to text before splitting it into subtokens?
",Normalization and pre-tokenization.,huggingface/course/blob/main/chapters/en/chapter6/4.mdx,5.0,"The context clearly states that a tokenizer applies two preprocessing steps before splitting text into subtokens, which are normalization and pre-tokenization. Normalization is defined as cleaning up text by removing unnecessary whitespace, lowercasing, and/or removing accents, whereas pre-tokenization is not explicitly described in the provided snippet but can be inferred from the tokenization pipeline diagram to be a step before splitting text into subtokens.

",4.0,"This question is quite specific, but still seems like a good foundation for understanding how tokenizers work. The Hugging Face ecosystem uses BPE (Byte-Pair Encoding) and WordPiece encoding as two common preprocessing steps in their tokenizers, so this question could be useful if someone wants to learn about the basics of text preprocessing before using Hugging Face models.

",5.0,"The question is clear and self-contained, asking about a specific process (preprocessing) applied by a well-defined entity (tokenizer). It doesn't rely on any external context or information.

"
"**ZeRO Stage-3 CPU Offload DeepSpeed Config File Example**
```bash
compute_environment: LOCAL_MACHINE
deepspeed_config:
 deepspeed_config_file: /path/to/zero3_offload_config_accelerate.json
 zero3_init_flag: true
distributed_type: DEEPSPEED
fsdp_config: {}
machine_rank: 0
main_process_ip: null
main_process_port: null
main_training_function: main
mixed_precision: fp16
num_machines: 1
num_processes: 2
use_cpu: false
```

Now, run below command for training:
```bash
accelerate launch run_clm_no_trainer.py \
--config_name ""gpt2-xl"" \
--tokenizer_name ""gpt2-xl"" \
--dataset_name ""wikitext"" \
--dataset_config_name ""wikitext-2-raw-v1"" \
--block_size 128 \
--output_dir ""/tmp/clm_deepspeed_stage3_offload__accelerate"" \
--learning_rate 5e-4 \
--per_device_train_batch_size 16 \
--per_device_eval_batch_size 1 \
--num_train_epochs 1 \
--with_tracking \
--report_to ""wandb""\
```

---
| Method | Batch Size Max | Train time per epoch (seconds) | Notes |
| --- | --- | --- | --- |
| DDP (Distributed Data Parallel) | - | - | OOM Error
| DeepSpeed ZeRO Stage 3 | **16** | 6608.35 | |


Table 3: Benchmarking DeepSpeed ZeRO Stage-3 CPU Offload on GPT-XL (1.5B) model

---
DDP will result in OOM error even with batch size 1. On the other hand, with DeepSpeed ZeRO Stage-3 CPU offload, we can train with a batch size of 16.

Finally, please, remember that, 🤗  `Accelerate` only integrates DeepSpeed, therefore if you
have any problems or questions with regards to DeepSpeed usage, please, file an issue with [DeepSpeed GitHub](https://github.com/microsoft/DeepSpeed/issues).

# References

[1] [Train Large, Then Compress: Rethinking Model Size for Efficient Training and Inference of Transformers](http://nlp.cs.berkeley.edu/pubs/Li-Wallace-Shen-Lin-Keutzer-Klein-Gonzalez_2020_Transformers_paper.pdf)

[2] [ZeRO: Memory Optimizations Toward Training Trillion Parameter Models](https://arxiv.org/pdf/1910.02054v3.pdf)","What is the maximum batch size that can be trained with DeepSpeed ZeRO Stage 3 CPU offload on a GPT-XL (1.5B) model?
",16,huggingface/blog/blob/main/accelerate-deepspeed.md,5.0,"The context provides a clear example of DeepSpeed ZeRO Stage 3 CPU offload configuration and a benchmark table showing the maximum batch size that can be trained with this method on a GPT-XL (1.5B) model, which is 16. Additionally, the context explains the difference in performance between DDP and DeepSpeed ZeRO Stage 3, indicating that DeepSpeed ZeRO Stage 3 can handle larger batch sizes without running out of memory.

",4.0,"This question appears to be specific and technical, targeting a particular use case within the Hugging Face ecosystem. To provide an accurate answer, one would need in-depth knowledge of DeepSpeed ZeRO Stage 3, its CPU offload capabilities, and the computational requirements of the GPT-XL (1.5B) model. The question does not appear to be overly broad or ambiguous, making it a specific challenge that requires expertise in both Hugging Face's NLP applications and deep learning optimization techniques.

",5.0,"This question refers to a specific technical setup involving a particular optimization technique (DeepSpeed ZeRO Stage 3), a hardware component (CPU offloading), and a large language model architecture (GPT-XL). To understand the context, one needs basic knowledge of deep learning frameworks, optimization techniques, and hardware acceleration. However, the question itself is clear and self-contained; it does not depend on any specific information or context beyond what's mentioned.

"
"!---
Copyright 2023 The HuggingFace Team. All rights reserved.

Licensed under the Apache License, Version 2.0 (the ""License"");
you may not use this file except in compliance with the License.
You may obtain a copy of the License at

    http://www.apache.org/licenses/LICENSE-2.0

Unless required by applicable law or agreed to in writing, software
distributed under the License is distributed on an ""AS IS"" BASIS,
WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
See the License for the specific language governing permissions and
limitations under the License.
-->

# Image classification examples

This directory contains 2 scripts that showcase how to fine-tune any model supported by the [`TFAutoModelForImageClassification` API](https://huggingface.co/docs/transformers/main/en/model_doc/auto#transformers.TFAutoModelForImageClassification) (such as [ViT](https://huggingface.co/docs/transformers/main/en/model_doc/vit), [ConvNeXT](https://huggingface.co/docs/transformers/main/en/model_doc/convnext), [ResNet](https://huggingface.co/docs/transformers/main/en/model_doc/resnet), [Swin Transformer](https://huggingface.co/docs/transformers/main/en/model_doc/swin)...) using TensorFlow. They can be used to fine-tune models on both [datasets from the hub](#using-datasets-from-hub) as well as on [your own custom data](#using-your-own-data).

<img src=""https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/image_classification_inference_widget.png"" height=""400"" />

Try out the inference widget here: https://huggingface.co/google/vit-base-patch16-224

## TensorFlow

Based on the script [`run_image_classification.py`](https://github.com/huggingface/transformers/blob/main/examples/tensorflow/image-classification/run_image_classification.py).

### Using datasets from Hub","What is the license under which software distributed by this file is licensed?
","Apache License, Version 2.0",huggingface/transformers/blob/main/examples/tensorflow/image-classification/README.md,5.0,"The context clearly states that the software distributed by this file is licensed under the Apache License, Version 2.0. This license information is explicitly mentioned in the copyright notice and the terms of use section.

",4.0,"This question is useful because it asks about licensing, which is an important consideration when using open-source libraries like those provided by Hugging Face. The answer to this question can help developers understand their obligations and restrictions on using the software.
",5.0,"This question appears to be self-contained, as it doesn't require any additional context or information about a specific setting or situation. It simply asks for the licensing terms of software distributed by the file in question.
"
"On the Hugging Face Hub, you can find both causal language models and causal language models fine-tuned on instructions (which we’ll give links to later in this blog post). Llama is one of the first open-source LLMs to have outperformed/matched closed-source ones. A research group led by Together has created a reproduction of Llama's dataset, called Red Pajama, and trained LLMs and instruction fine-tuned models on it. You can read more about it [here](https://www.together.xyz/blog/redpajama) and find [the model checkpoints on Hugging Face Hub](https://huggingface.co/models?sort=trending&search=togethercomputer%2Fredpajama). By the time this blog post is written, three of the largest causal language models with open-source licenses are [MPT-30B by MosaicML](https://huggingface.co/mosaicml/mpt-30b), [XGen by Salesforce](https://huggingface.co/Salesforce/xgen-7b-8k-base) and [Falcon by TII UAE](https://huggingface.co/tiiuae/falcon-40b), available completely open on Hugging Face Hub.
Recently, Meta released [Llama 2](https://ai.meta.com/Llama/), an open-access model with a license that allows commercial use. As of now, Llama 2 outperforms all of the other open-source large language models on different benchmarks. [Llama 2 checkpoints on Hugging Face Hub](https://huggingface.co/meta-Llama) are compatible with transformers, and the largest checkpoint is available for everyone to try at [HuggingChat](https://huggingface.co/chat/). You can read more about how to fine-tune, deploy and prompt with Llama 2 in [this blog post](https://huggingface.co/blog/llama2).","Who led the research group that created a reproduction of Llama's dataset called Red Pajama?
",Together,huggingface/blog/blob/main/os-llms.md,5.0,"The context clearly states that ""A research group led by Together has created a reproduction of Llama's dataset, called Red Pajama"", which directly answers the question. There is no ambiguity or additional information needed to answer this question.
",4.0,"This question appears to be specific and relevant to the Hugging Face ecosystem, as it mentions a well-known AI model (Llama) and a related dataset. The question also shows an interest in understanding the origins and development of this dataset, which is likely to be of interest to machine learning developers working with NLP applications.
",5.0,"This question can be understood without any additional context, as it refers to a specific event or occurrence within the history of the development of the Llama model. The mention of ""Red Pajama"" serves as an identifier for a particular reproduction of the dataset created by a research group.
"
"```python
from diffusers import StableDiffusionXLControlNetPipeline, ControlNetModel, UniPCMultistepScheduler
from diffusers.utils import load_image
import torch

base_model_path = ""stabilityai/stable-diffusion-xl-base-1.0""
controlnet_path = ""path to controlnet""

controlnet = ControlNetModel.from_pretrained(controlnet_path, torch_dtype=torch.float16)
pipe = StableDiffusionXLControlNetPipeline.from_pretrained(
    base_model_path, controlnet=controlnet, torch_dtype=torch.float16
)

# speed up diffusion process with faster scheduler and memory optimization
pipe.scheduler = UniPCMultistepScheduler.from_config(pipe.scheduler.config)
# remove following line if xformers is not installed or when using Torch 2.0.
pipe.enable_xformers_memory_efficient_attention()
# memory optimization.
pipe.enable_model_cpu_offload()

control_image = load_image(""./conditioning_image_1.png"")
prompt = ""pale golden rod circle with old lace background""

# generate image
generator = torch.manual_seed(0)
image = pipe(
    prompt, num_inference_steps=20, generator=generator, image=control_image
).images[0]
image.save(""./output.png"")
```

## Notes

### Specifying a better VAE

SDXL's VAE is known to suffer from numerical instability issues. This is why we also expose a CLI argument namely `--pretrained_vae_model_name_or_path` that lets you specify the location of a better VAE (such as [this one](https://huggingface.co/madebyollin/sdxl-vae-fp16-fix)).","What is the base model path used to initialize the StableDiffusionXLControlNetPipeline?
",stabilityai/stable-diffusion-xl-base-1.0,huggingface/diffusers/blob/main/examples/controlnet/README_sdxl.md,4.0,"The context clearly states how to initialize the StableDiffusionXLControlNetPipeline, including loading the base model from a specific path. However, the question is phrased as if it's asking for the default or built-in base model path used by the pipeline, which isn't explicitly mentioned in the code snippet.

",4.0,"This question seems relevant because it specifically asks about a detail of a particular pipeline implementation, which suggests that the person asking is likely working with the Hugging Face ecosystem and wants to use the StableDiffusion XL Control Net pipeline. Providing accurate information about the base model path used in this pipeline would help them initialize their model correctly.

",4.0,"The question clearly specifies a particular model (StableDiffusionXLControlNetPipeline) and pipeline type (pipeline), which suggests that it has a specific context in mind. However, the question itself is phrased as if it's asking for general information about how to initialize such a pipeline.

"
"|      |      |[ehartford/samantha-falcon-7b](https://huggingface.co/ehartford/samantha-falcon-7b)                                                                |29          |22      |                         |                                                                                   |[LICENSE.txt](https://huggingface.co/ehartford/samantha-falcon-7b/blob/main/LICENSE.txt)                                |                                                                                                    |             |
|      |      |[coreml-projects/Llama-2-7b-chat-coreml](https://huggingface.co/coreml-projects/Llama-2-7b-chat-coreml)                                            |27          |72      | llama2 |                                                 |[LICENSE.txt](https://huggingface.co/coreml-projects/Llama-2-7b-chat-coreml/blob/main/LICENSE.txt)                      |                                                                                                    |             |
|      |      |[TheBloke/qCammel-13-GPTQ](https://huggingface.co/TheBloke/qCammel-13-GPTQ)                                                                        |27          |3       | llama2 |                                                 |[LICENSE.txt](https://huggingface.co/TheBloke/qCammel-13-GPTQ/blob/main/LICENSE.txt)                                    |                                                                                                    |             |
|      |      |[anonymous4chan/llama-2-7b](https://huggingface.co/anonymous4chan/llama-2-7b)                                                                      |26          |1       | llama2 |                                                 |[LICENSE.txt](https://huggingface.co/anonymous4chan/llama-2-7b/blob/main/LICENSE.txt)                                   |                                                                                                    |             |","How many models in the list contain a model named ""Llama-2 7b-chat-coreml""?
",1,huggingface/hub-docs/blob/main/hacktoberfest_challenges/model_no_license.md,4.0,"The context provides a list of models, and one of the models is named ""Llama-2 7b-chat-coreml"" which exactly matches the name in the question. This makes it clear that there is at least one model with this name. However, to give an exact count, one would need more information about the other models in the list.
",4.0,"This question is useful because it requires knowledge of how to query and manipulate model lists, which is an important aspect of working with the Hugging Face ecosystem. The answer will likely involve using the `models` library or other relevant APIs to search for models by name.

",5.0,"The question clearly states what it's asking about, which is a specific task involving a list of models and a particular model name. It doesn't reference any external context or require additional information beyond the question itself.

"
"card = ModelCard.from_template(card_data)
print(card.data)
```

The resulting `card.data` should look like this:

```
language: en
license: mit
model-index:
- name: my-cool-model
  results:
  - task:
      type: image-classification
    dataset:
      name: Beans
      type: beans
    metrics:
    - type: accuracy
      value: 0.7
```

If you have more than one evaluation result you'd like to share, just pass a list of `EvalResult`:

```python
card_data = ModelCardData(
    language='en',
    license='mit',
    model_name='my-cool-model',
    eval_results = [
        EvalResult(
            task_type='image-classification',
            dataset_type='beans',
            dataset_name='Beans',
            metric_type='accuracy',
            metric_value=0.7
        ),
        EvalResult(
            task_type='image-classification',
            dataset_type='beans',
            dataset_name='Beans',
            metric_type='f1',
            metric_value=0.65
        )
    ]
)
card = ModelCard.from_template(card_data)
card.data
```

Which should leave you with the following `card.data`:

```
language: en
license: mit
model-index:
- name: my-cool-model
  results:
  - task:
      type: image-classification
    dataset:
      name: Beans
      type: beans
    metrics:
    - type: accuracy
      value: 0.7
    - type: f1
      value: 0.65
```","What is the type of the metric with a value of 0.65 in the eval results?
",f1,huggingface/huggingface_hub/blob/main/docs/source/en/guides/model-cards.md,5.0,"The context provided includes a specific example of how to access the eval results, which contains information about different metrics and their values. This allows us to unambiguously determine that there is an ""f1"" metric with a value of 0.65 in the eval results.
",4.0,"This question seems to be related to evaluating the performance of an NLP model using the Hugging Face ecosystem, which likely involves using metrics such as accuracy or F1 score. The fact that it mentions an ""eval results"" suggests that the context is likely a model training pipeline where various metrics are being tracked and reported. However, without more information about the specific metric with a value of 0.65, it's hard to provide a precise answer.

",5.0,"This question is clear and unambiguous, asking for information about a specific metric within eval results. The only required context is that there are eval results being referenced.
"
"**Notes**:

* While running the above script, you need to specify the `split` accordingly. The example command above will only filter the `test` split of the dataset.
* If you append `gs://` in your `output_dir` the TFRecord shards will be directly serialized to a Google Cloud Storage (GCS) bucket. Ensure that you have already [created the GCS bucket](https://cloud.google.com/storage/docs).
* If you're using a TPU node, you must stream data from a GCS bucket. Otherwise, if you're using a TPU VM,you can store the data locally. You may need to [attach](https://cloud.google.com/tpu/docs/setup-persistent-disk) a persistent storage to the VM.
* Additional CLI arguments are also supported. We encourage you to run `python prepare_tfrecord_shards.py -h` to know more about them.

## Training the model

Once that's done, the model is ready for training. By default, training takes place on TPU, but you can use the `--no_tpu` flag to train on CPU for testing purposes. An example command is:

```bash
python3 run_mlm.py \
  --train_dataset gs://tf-tpu-training-resources/train/ \
  --eval_dataset gs://tf-tpu-training-resources/validation/ \
  --tokenizer tf-tpu/unigram-tokenizer-wikitext \
  --output_dir trained_model
```

If you had specified a `hub_model_id` while launching training, then your model will be pushed to a model repository on the Hugging Face Hub. You can find such an example repository here:
[tf-tpu/roberta-base-epochs-500-no-wd](https://huggingface.co/tf-tpu/roberta-base-epochs-500-no-wd).

## Inference

Once the model is trained, you can use 🤗 Pipelines to perform inference:

```python
from transformers import pipeline

model_id = ""tf-tpu/roberta-base-epochs-500-no-wd""
unmasker = pipeline(""fill-mask"", model=model_id, framework=""tf"")
unmasker(""Goal of my life is to [MASK]."")","What happens if you append `gs://` in your `output_dir`.
",The TFRecord shards will be directly serialized to a Google Cloud Storage (GCS) bucket.,huggingface/transformers/blob/main/examples/tensorflow/language-modeling-tpu/README.md,5.0,"The question can be answered clearly and unambiguously with the given context. The context specifically mentions that if you append `gs://` in your `output_dir`, the TFRecord shards will be directly serialized to a Google Cloud Storage (GCS) bucket.

",4.0,"This question seems to be related to Hugging Face's model fine-tuning and training functionality, where the output directory (`output_dir`) plays a crucial role. The question about appending `gs://` (a Google Cloud Storage prefix) suggests that it might be asking about uploading or saving models/training outputs directly to Google Cloud Storage instead of local storage. This is a specific and practical question, which could help developers understand how to use Hugging Face with cloud-based storage.
",5.0,"This question seems to be clear and context-independent, as it directly asks about a specific action (appending `gs://`) in relation to a setting (`output_dir`). The mention of `gs://` implies that the question is related to Google Cloud Storage, but this is not a requirement for understanding the question.
"
"(Automatic) Curriculum Learning for RL

While most of the RL methods seen in this course work well in practice, there are some cases where using them alone fails. This can happen, for instance, when:

- the task to learn is hard and requires an **incremental acquisition of skills** (for instance when one wants to make a bipedal agent learn to go through hard obstacles, it must first learn to stand, then walk, then maybe jump…)
- there are variations in the environment (that affect the difficulty) and one wants its agent to be **robust** to them

<figure>
<img src=""https://huggingface.co/datasets/huggingface-deep-rl-course/course-images/resolve/main/en/unit9/bipedal.gif"" alt=""Bipedal""/>
<img src=""https://huggingface.co/datasets/huggingface-deep-rl-course/course-images/resolve/main/en/unit9/movable_creepers.gif"" alt=""Movable creepers""/>
<figcaption> <a href=""https://developmentalsystems.org/TeachMyAgent/"">TeachMyAgent</a> </figcaption>
</figure>

In such cases, it seems needed to propose different tasks to our RL agent and organize them such that the agent progressively acquires skills. This approach is called **Curriculum Learning** and usually implies a hand-designed curriculum (or set of tasks organized in a specific order). In practice, one can, for instance, control the generation of the environment, the initial states, or use Self-Play and control the level of opponents proposed to the RL agent.

As designing such a curriculum is not always trivial, the field of **Automatic Curriculum Learning (ACL) proposes to design approaches that learn to create such an organization of tasks in order to maximize the RL agent’s performances**. Portelas et al. proposed to define ACL as:

> … a family of mechanisms that automatically adapt the distribution of training data by learning to adjust the selection of learning situations to the capabilities of RL agents.
>","What is the main goal of Automatic Curriculum Learning (ACL) for Reinforcement Learning?
",Maximizing the RL agent's performances.,huggingface/deep-rl-class/blob/main/units/en/unitbonus3/curriculum-learning.mdx,5.0,"The context provides a clear explanation of Automatic Curriculum Learning (ACL) and its purpose, which is to design approaches that learn to create an organization of tasks to maximize the performance of Reinforcement Learning agents. It also quotes a definition from Portelas et al., further clarifying the concept. This makes it easy to infer that the main goal of ACL is to adapt the distribution of training data to the capabilities of RL agents, which aligns with the question asked.

",4.0,"The question is clear and concise, asking about the primary objective of a specific technique within Reinforcement Learning, which is relevant to machine learning developers building NLP applications with the Hugging Face ecosystem. However, without more context or information on how ACL applies specifically to NLP tasks using the Hugging Face tools, it's challenging to gauge its direct usefulness in this domain.

",5.0,"The question is clear and concise, asking about the main objective of a specific concept in the field of reinforcement learning. It does not reference any particular context or setting that would require additional information to understand.

"
"## Putting Bias in Context

The first and maybe most important concept to consider when dealing with machine bias is **context**. In their foundational work on [bias in NLP](https://aclanthology.org/2020.acl-main.485.pdf), Su Lin Blodgett et al. point out that: _“[T]he majority of [academic works on machine bias] fail to engage critically with what constitutes “bias” in the first place”_, including by building their work on top of _“unstated assumptions about what kinds of system behaviors are harmful, in what ways, to whom, and why”_.

This may not come as much of a surprise given the ML research community’s [focus on the value of “generalization”](https://dl.acm.org/doi/10.1145/3531146.3533083) — the most cited motivation for work in the field after “performance”. However, while tools for bias assessment that apply to a wide range of settings are valuable to **enable a broader analysis of common trends** in model behaviors, their ability to target the mechanisms that lead to discrimination in **concrete use cases is inherently limited**. Using them to guide specific decisions within the ML development cycle usually requires an extra step or two  to take the system’s specific use context and affected people into consideration.

<p align=""center"">
 <br>
 <img src=""https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/blog/ethics_soc_2/img_foresight.png"" alt=""Excerpt on considerations of ML uses context and people from the Model Card Guidebook"" />
    <em>Excerpt on considerations of ML uses context and people from the <a href=""https://huggingface.co/docs/hub/model-cards"">Model Card Guidebook</a></em>
</p>","What is cited as the most important concept to consider when dealing with machine bias?
",Context.,huggingface/blog/blob/main/ethics-soc-2.md,5.0,"The question asks about a specific concept that is considered important when dealing with machine bias, and the context provides a clear answer to this question by stating that ""context"" is the most important concept to consider. Additionally, it supports its claim with citations from academic works on bias in NLP and references to the Model Card Guidebook.

",5.0,"This question is relevant to NLP developers working within the Hugging Face ecosystem because it touches on a crucial aspect of developing responsible AI systems. Machine bias can have significant consequences in real-world applications, and understanding its causes and mitigation strategies is essential for building trustworthy models. The Hugging Face ecosystem offers various tools and resources for addressing bias in NLP applications, such as the Transformers library's support for fairness metrics and techniques like debiasing word embeddings.
",5.0,"The question does not refer to a specific context, setting, or prior information. It asks for a general piece of knowledge about machine bias, which can be understood independently.
"
"For more advanced Elasticsearch usage, you can specify your own configuration with custom settings:

```py
>>> import elasticsearch as es
>>> import elasticsearch.helpers
>>> from elasticsearch import Elasticsearch
>>> es_client = Elasticsearch([{""host"": ""localhost"", ""port"": ""9200""}])  # default client
>>> es_config = {
...     ""settings"": {
...         ""number_of_shards"": 1,
...         ""analysis"": {""analyzer"": {""stop_standard"": {""type"": ""standard"", "" stopwords"": ""_english_""}}},
...     },
...     ""mappings"": {""properties"": {""text"": {""type"": ""text"", ""analyzer"": ""standard"", ""similarity"": ""BM25""}}},
... }  # default config
>>> es_index_name = ""hf_squad_context""  # name of the index in Elasticsearch
>>> squad.add_elasticsearch_index(""context"", es_client=es_client, es_config=es_config, es_index_name=es_index_name)
```","What is the default host used to connect to an Elasticsearch instance?
",localhost,huggingface/datasets/blob/main/docs/source/faiss_es.mdx,4.0,"The given context provides an example code snippet that creates an Elasticsearch client using the `Elasticsearch` class from the `elasticsearch` library. Specifically, it shows how to specify a custom host and port for connecting to an Elasticsearch instance. However, in the default case where no host is specified, the code implies that the default behavior is to use ""localhost"" as the host.

The relevant line of code is `es_client = Elasticsearch([{""host"": ""localhost"", ""port"": ""9200""}])`, which suggests that when no custom host is provided, the client will connect to ""localhost"".

",4.0,"This question appears to be relevant to machine learning developers working with the Hugging Face ecosystem, particularly those who are using the Transformers library which provides a utility for connecting to Elasticsearch. The default host used to connect to an Elasticsearch instance is likely an important piece of information for these developers.

",5.0,"The question clearly states what it's asking about (the default host to connect to an Elasticsearch instance), without any need for additional context or information.
"
"# Metric Card for WER

## Metric description
Word error rate (WER) is a common metric of the performance of an automatic speech recognition (ASR) system.

The general difficulty of measuring the performance of ASR systems lies in the fact that the recognized word sequence can have a different length from the reference word sequence (supposedly the correct one). The WER is derived from the [Levenshtein distance](https://en.wikipedia.org/wiki/Levenshtein_distance), working at the word level.

This problem is solved by first aligning the recognized word sequence with the reference (spoken) word sequence using dynamic string alignment. Examination of this issue is seen through a theory called the power law that states the correlation between [perplexity](https://huggingface.co/metrics/perplexity) and word error rate (see [this article](https://www.cs.cmu.edu/~roni/papers/eval-metrics-bntuw-9802.pdf) for further information).

Word error rate can then be computed as:

`WER = (S + D + I) / N = (S + D + I) / (S + D + C)`

where

`S` is the number of substitutions,

`D` is the number of deletions,

`I` is the number of insertions,

`C` is the number of correct words,

`N` is the number of words in the reference (`N=S+D+C`).


## How to use

The metric takes two inputs: references (a list of references for each speech input) and predictions (a list of transcriptions to score).


```python
from evaluate import load
wer = load(""wer"")
wer_score = wer.compute(predictions=predictions, references=references)
```
## Output values

This metric outputs a float representing the word error rate.

```
print(wer_score)
0.5
```

This value indicates the average number of errors per reference word.

The **lower** the value, the **better** the performance of the ASR system, with a WER of 0 being a perfect score.

### Values from popular papers","What is the formula for computing the Word Error Rate (WER)?
",WER = (S + D + I) / N = (S + D + I) / (S + D + C),huggingface/evaluate/blob/main/metrics/wer/README.md,5.0,"The context provides a clear and concise description of the Word Error Rate (WER) metric, including its formula, calculation method, and application. It also includes a specific section on how to use the metric in code, which makes it easy to understand and implement. Moreover, the output values are clearly explained, providing additional clarity on what the WER score represents.

",5.0,"This question is very useful because it targets a specific concept within NLP, which is an important aspect of building models with the Hugging Face ecosystem. Understanding how to calculate the Word Error Rate is crucial in evaluating the performance of automatic speech recognition systems and machine translation models. The answer to this question can provide insights into the calculation process, which can help developers better comprehend their model's results.

",5.0,"The question refers to a well-defined concept within natural language processing, specifically speech recognition. It asks for the mathematical formula used to calculate WER, which implies that the context of the question is already familiar with the concept and its relevance in the field.
"
